signal_date,symbol,side,cbt,entry,stoploss,target,status,exit_date,exit_price,max_profit_pct,max_drawdown_pct,days_held,pnl_pct,last_price,last_date
2026-08-06,LCID,buy,6.98,6.66,5.34,7.96,SL Hit,2026-08-24,5.34,8.56,23.72,18,-19.82,5.34,2026-08-24
2026-08-06,OLLI,sell,77.97,78.4000015258789,82.23,65.57,Open,,,9.49,4.34,26,,72.34,2026-09-01
2026-08-07,DOX,sell,58.55,59.290000915527344,62.08,56.18,SL Hit,2026-08-24,62.08,5.04,5.25,17,-4.71,62.08,2026-08-24
2026-08-07,INSM,sell,131.1,134.99000549316406,144.2,109.35,Open,,,12.95,0.38,25,,121.51,2026-09-01
2026-08-07,MTN,buy,148.83,147.13,140.54,156.66,SL Hit,2026-08-13,140.54,1.58,4.8,6,-4.48,140.54,2026-08-13
2026-08-07,TTMI,sell,137.21,140.2899932861328,163.56,109.54,TP Hit,2026-08-21,109.54,22.14,3.99,14,21.92,109.54,2026-08-21
2026-08-07,WFRD,sell,86.82,88.16000366210938,94.94,84.02,SL Hit,2026-08-14,94.94,2.29,7.72,7,-7.69,94.94,2026-08-14
2026-08-10,MCHP,sell,80.9,85.0284263338682,90.33,73.16,TP Hit,2026-08-24,73.16,14.42,0.74,14,13.96,73.16,2026-08-24
2026-08-10,PLMR,buy,131.04,130.41,122.96,141.91,Open,,,3.44,5.22,22,,131.86,2026-09-01
2026-08-11,BOOT,sell,165.8,167.77000427246094,179.42,160.41,TP Hit,2026-08-13,160.41,5.2,1.61,2,4.39,160.41,2026-08-13
2026-08-11,LGIH,buy,57.8,56.92,52.7,60.57,TP Hit,2026-08-19,60.57,6.64,1.84,8,6.41,60.57,2026-08-19
2026-08-11,STAA,sell,24.94,25.5,27.1,23.18,TP Hit,2026-08-20,23.18,9.88,2.94,9,9.1,23.18,2026-08-20
2026-08-12,AA,sell,51.22,54.400001525878906,57.37,48.09,Open,,,10.4,1.19,20,,50.9,2026-09-01
2026-08-12,ACHR,sell,6.29,6.853000164031982,7.55,5.74,TP Hit,2026-08-28,5.74,17.12,6.38,16,16.24,5.74,2026-08-28
2026-08-12,COKE,buy,188.77,181.05,169.45,190.39,TP Hit,2026-08-13,190.39,5.33,0.3,1,5.16,190.39,2026-08-13
2026-08-13,MSGE,sell,84.29,87.69999694824219,93.59,75.31,Open,,,12.94,3.09,19,,77.04,2026-09-01
2026-08-14,APO,sell,140.17,142.97608421041048,148.52,120.06,Open,,,9.15,0.95,18,,131.69,2026-09-01
