signal_date,symbol,side,entry,stoploss,target,pnl_pct,reentry_date,reentry_side,reentry_entry,reentry_sl,reentry_tp,reentry_status,reentry_exit_date,reentry_exit_price,reentry_pnl_pct
2026-07-17,NFG,sell,82.55000305175781,84.71,77.36,-2.62,2026-08-21,Red,82.48,85.8542,80.3218,Open,,,
2026-08-06,LCID,buy,6.66,5.34,7.96,-19.82,2026-08-25,Green,5.26,4.3874,6.3025,Open,,,
2026-08-07,DOX,sell,59.290000915527344,62.08,56.18,-4.71,2026-08-27,Red,62.7,66.0354,59.7495,Open,,,
2026-08-05,WING,buy,120.91,110.1,135.45,-8.94,2026-08-28,Green,113.58,103.283,123.7347,Open,,,
2026-07-30,ADBE,sell,251.5,278.59,240.22,-10.77,2026-09-01,Red,286.08,304.8517,255.2652,Open,,,
2026-08-21,LNG,sell,279.9599914550781,289.07,255.5,-3.25,2026-09-01,Red,294.13,306.069,284.5589,Open,,,
2026-08-20,ENTG,buy,144.11,131.56,160.92,-8.71,2026-09-02,Green,131.35,118.3453,142.7888,Open,,,
2026-08-14,PFGC,buy,104.46,99.91,110.23,-4.36,2026-09-02,Green,100.1651,96.7694,104.528,Open,,,
2026-08-20,SAIA,buy,354.58,337.64,380.84,-4.78,2026-09-02,Green,334.065,309.299,350.0249,Open,,,
2026-08-19,UFPI,buy,88.65,83.57,91.9,-5.73,2026-09-02,Green,83.48,78.7687,88.2637,Open,,,
